name,address,phone,hours,drive_thru,mcdelivery,source_url,scraped_at
Fəvvarələr meydanı,,+994 77 488 01 01,08:00 – 01:00,,08:00 – 01:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Gənclik,,+994 77 488 01 02,08:00 – 01:00,07:30-04:00,08:00 – 04:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Nəriman Nərimanov,,+994 77 488 01 03,08:00 – 01:00,07:30 – 03:00,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Memar Əcəmi,,+994 77 488 01 04,08:00 – 01:00,07:30 – 03:00,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Şüvəlan Park,,+994 77 488 01 05,09:00-00:00,07:30-01:00,08:00 – 01:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Əhmədli,,+994 77 488 01 06,08:00 – 01:00,07:30 – 03:00,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Neftçilər,,+994 77 488 01 07,08:00 – 01:00,,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
28 Mall,,+994 77 488 01 08,09:00-23:00,,,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Park Bulvar,,+994 77 488 01 09,10:00-23:00,,10:00 – 22: 45,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Hava limanı,,+994 77 488 01 10,,,,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Gənclik Mall,,+994 77 488 01 12,09:00-23:00,,,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Amburan Mall,,+994 77 488 01 14,09:00 – 00:00,08:00 – 01:00,09:00 – 01:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Gəncə Mall,,+994 77 488 01 13,09:00-23:00,,10:00 – 22:45,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Koroğlu m/s. Bravo hipermarket,,+994 77 488 01 16,08:00-00:00,,08:00 – 01:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Sahil,,+994 77 488 01 15,08:00-01:00,,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
20 Yanvar m/s. Bravo hipermarket,,+994 77 488 01 17,08:00-01:00,07:30-03:00,08:00-03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Binəqədi. Bravo supermarket,,+994 77 488 01 20,08:00-01:00,07:30 – 03:00,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Sumqayıt (Sülh küçəsi),,+994 77 488 01 19,08:00 – 00:00,07:30 – 00:00,10:00 – 00:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Dəniz Mall,,+994 77 488 01 18,09:00-23:00,,10:00 – 22: 45,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Grand Hayat,,+994 77 488 01 21,08:00 – 01:00,07:30 – 03:00,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Blue Residence,,+994 77 488 01 22,08:00 – 00:00,07:30 – 02:00,08:00 – 02:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Sumqayıt (Səməd Vurğun küçəsi),,+994 77 488 01 23,08:00 – 01:00,,08:00 – 01:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
"""Crescent Mall""",,+994 77 488 01 26,09:00 – 23: 00,,10:00 – 22: 45,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Nəsimi Mall,,+994 77 488 01 24,08:00 – 01:00,,08:00 – 04:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
"""Sea Breeze""",,+994 77 488 01 25,11:00 – 20:00,,11:00 – 20:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Bakıxanov,,+994 77 488 01 27,08:00 – 01:00,07:30 – 03:00,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
Ağ şəhər,,+994 77 488 01 28,08:00 – 01:00,,08:00 – 03:00,https://mcdonalds.az/restaurant-locations,2026-02-23T19:50:58.808356+00:00
